time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
24229,9,0.02,0.02,0.06,0.008,-0.057,0.998,-3.49,2.60,0.00,0.00,3.49,-2.60,0.00,12.21,-9.11,12.19,-9.14,0.00,0.47,-0.37,-1.20,1000,1000,1000,1000,1052,1500,1511,11274,808
24241,9,0.02,0.02,-0.06,0.007,-0.056,1.002,-3.49,2.58,0.00,0.00,3.49,-2.58,0.00,12.20,-9.03,12.18,-9.05,0.00,0.47,-0.37,1.26,1100,1100,1100,1100,1034,1500,1511,11274,808
24252,9,0.02,0.08,0.06,0.006,-0.059,1.000,-3.54,2.59,0.00,0.00,3.54,-2.59,0.00,12.40,-9.08,12.38,-9.16,0.00,0.48,-0.40,-1.09,1100,1100,1100,1100,1034,1500,1511,11274,808
24265,9,-0.04,0.03,-0.00,0.007,-0.057,0.997,-3.52,2.63,0.00,0.00,3.52,-2.63,0.00,12.31,-9.20,12.35,-9.23,0.00,0.50,-0.37,-0.02,1100,1100,1100,1100,1034,1500,1511,11274,808
24276,9,0.08,0.03,0.00,0.007,-0.058,0.993,-3.50,2.62,0.00,0.00,3.50,-2.62,0.00,12.25,-9.18,12.17,-9.21,0.00,0.45,-0.37,-0.19,1100,1100,1100,1100,1034,1500,1511,11274,808
24289,9,0.02,0.08,0.06,0.008,-0.061,0.998,-3.54,2.68,0.00,0.00,3.54,-2.68,0.00,12.40,-9.37,12.38,-9.45,0.00,0.49,-0.41,-1.29,1100,1100,1100,1100,1025,1500,1520,11274,808
24301,9,-0.04,0.03,-0.00,0.006,-0.057,1.003,-3.56,2.62,0.00,0.00,3.56,-2.62,0.00,12.46,-9.17,12.49,-9.20,0.00,0.52,-0.37,-0.27,1100,1100,1100,1100,1035,1500,1510,11274,808
24312,9,0.02,0.02,-0.06,0.010,-0.056,0.999,-3.48,2.66,0.00,0.00,3.48,-2.66,0.00,12.18,-9.30,12.17,-9.32,0.00,0.47,-0.38,0.72,1100,1100,1100,1100,1035,1500,1510,11266,808
24324,9,-0.03,0.08,-0.00,0.005,-0.059,0.997,-3.50,2.63,0.00,0.00,3.50,-2.63,0.00,12.26,-9.22,12.29,-9.30,0.00,0.51,-0.39,-0.57,1100,1100,1100,1100,1036,1500,1509,11262,808
24336,9,-0.10,0.03,0.00,0.004,-0.060,1.003,-3.52,2.59,0.00,0.00,3.52,-2.59,0.00,12.32,-9.06,12.42,-9.08,0.00,0.53,-0.36,-0.06,1100,1100,1100,1100,1036,1500,1509,11258,808
