time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
184289,9,0.07,-0.03,-0.06,0.021,-0.063,1.000,-3.84,3.53,0.00,9.63,3.84,6.10,0.00,13.43,21.34,13.36,21.37,0.00,0.50,0.87,1.02,1000,1000,1000,1000,1000,1500,1607,11129,810
184301,9,0.02,-0.03,-0.06,0.022,-0.064,0.997,-3.82,3.56,0.00,0.00,3.82,-3.56,0.00,13.38,-12.45,13.37,-12.42,0.00,0.52,-0.48,0.78,1000,1000,1000,1000,1019,1500,1509,11129,810
184312,9,0.02,0.08,0.00,0.023,-0.061,0.999,-3.82,3.55,0.00,0.00,3.82,-3.55,0.00,13.36,-12.43,13.34,-12.52,0.00,0.52,-0.53,-0.42,1000,1000,1000,1000,1019,1500,1509,11129,810
184324,9,0.02,0.03,0.00,0.026,-0.065,0.994,-3.82,3.58,0.00,2.43,3.82,-1.15,0.00,13.36,-4.02,13.34,-4.04,0.00,0.52,-0.16,-0.22,1000,1000,1000,1000,1000,1501,1527,11129,810
184336,9,0.02,0.03,-0.00,0.024,-0.065,1.001,-3.80,3.58,0.00,2.43,3.80,-1.15,0.00,13.31,-4.01,13.29,-4.05,0.00,0.52,-0.15,-0.24,1000,1000,1000,1000,1000,1499,1527,11129,810
184349,9,0.02,0.08,0.00,0.023,-0.066,1.006,-3.85,3.53,0.00,0.00,3.85,-3.53,0.00,13.48,-12.35,13.46,-12.43,0.00,0.53,-0.52,-0.16,1100,1100,1100,1100,1021,1499,1508,11129,811
184361,9,-0.04,0.09,0.06,0.025,-0.063,1.002,-3.86,3.57,0.00,0.00,3.86,-3.57,0.00,13.52,-12.49,13.56,-12.58,0.00,0.56,-0.52,-0.89,1100,1100,1100,1100,1021,1500,1507,11129,811
184372,9,0.08,0.08,-0.06,0.022,-0.063,0.998,-3.84,3.51,0.00,0.00,3.84,-3.51,0.00,13.43,-12.29,13.35,-12.37,0.00,0.50,-0.51,1.32,1100,1100,1100,1100,1021,1500,1507,11125,811
184384,9,-0.03,0.20,-0.18,0.017,-0.057,0.996,-3.74,3.43,0.00,0.00,3.74,-3.43,0.00,13.11,-12.02,13.14,-12.22,0.00,0.54,-0.55,2.45,1100,1100,1100,1100,1020,1500,1508,11116,811
184396,9,-0.04,0.03,0.12,0.022,-0.058,0.996,-3.72,3.45,0.00,0.00,3.72,-3.45,0.00,13.04,-12.08,13.08,-12.11,0.00,0.53,-0.47,-2.77,1100,1100,1100,1100,1020,1500,1508,11116,811
184409,9,-0.15,-0.03,0.13,0.026,-0.061,0.998,-3.73,3.52,0.00,0.00,3.73,-3.52,0.00,13.04,-12.34,13.19,-12.31,0.00,0.58,-0.46,-1.25,1100,1100,1100,1100,1020,1500,1508,11116,811
184421,9,-0.03,0.02,-0.12,0.022,-0.062,0.999,-3.78,3.46,0.00,0.00,3.78,-3.46,0.00,13.22,-12.13,13.25,-12.15,0.00,0.54,-0.49,2.97,1100,1100,1100,1100,1020,1500,1508,11120,811
