time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
47729,9,-0.10,0.03,-0.05,0.021,-0.055,0.997,-3.36,3.36,0.00,0.00,3.36,-3.36,0.00,11.77,-11.74,11.86,-11.77,0.00,0.51,-0.48,1.16,1000,1000,1000,1000,1049,1500,1508,11208,813
47741,9,-0.04,0.03,-0.06,0.017,-0.053,0.997,-3.33,3.29,0.00,3.69,3.33,0.40,0.00,11.65,1.39,11.69,1.36,0.00,0.48,0.05,0.91,1100,1100,1100,1100,1002,1500,1541,11208,809
47752,9,-0.04,0.03,-0.06,0.016,-0.057,0.994,-3.39,3.27,0.00,3.69,3.39,0.42,0.00,11.85,1.45,11.89,1.42,0.00,0.48,0.06,0.98,1100,1100,1100,1100,1002,1500,1541,11208,809
47765,9,-0.04,-0.03,-0.12,0.018,-0.054,0.999,-3.39,3.21,0.00,3.69,3.39,0.48,0.00,11.86,1.68,11.90,1.71,0.00,0.48,0.10,1.86,1100,1100,1100,1100,1002,1500,1541,11208,809
47776,9,0.02,0.03,0.00,0.019,-0.054,0.997,-3.31,3.23,0.00,3.69,3.31,0.46,0.00,11.58,1.62,11.56,1.59,0.00,0.45,0.06,-0.71,1100,1100,1100,1100,1002,1500,1541,11208,809
47789,9,0.02,-0.03,0.06,0.014,-0.052,0.998,-3.31,3.16,0.00,3.60,3.31,0.44,0.00,11.58,1.54,11.56,1.58,0.00,0.45,0.09,-1.85,1100,1100,1100,1100,1003,1500,1540,11208,809
47801,9,-0.04,0.08,0.00,0.019,-0.056,1.003,-3.36,3.17,0.00,3.60,3.36,0.43,0.00,11.76,1.49,11.79,1.41,0.00,0.49,0.03,-0.32,1100,1100,1100,1100,1003,1500,1540,11208,809
47812,9,-0.04,0.08,-0.00,0.020,-0.059,0.997,-3.37,3.22,0.00,3.60,3.37,0.38,0.00,11.79,1.34,11.83,1.26,0.00,0.49,0.02,-0.43,1100,1100,1100,1100,1003,1500,1540,11208,809
47825,9,0.29,-0.03,-0.06,0.014,-0.053,0.998,-3.29,3.16,0.00,0.00,3.29,-3.16,0.00,11.53,-11.05,11.24,-11.02,0.00,0.31,-0.42,0.55,1100,1100,1100,1100,1035,1500,1508,11200,809
47836,9,0.02,-0.08,0.06,0.018,-0.046,1.003,-3.24,3.19,0.00,0.00,3.24,-3.19,0.00,11.35,-11.16,11.33,-11.08,0.00,0.45,-0.39,-1.79,1100,1100,1100,1100,1035,1500,1508,11200,809
