time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
142549,9,0.02,0.08,0.00,0.004,-0.071,0.997,-4.40,2.39,0.00,0.00,4.40,-2.39,0.00,15.39,-8.36,15.37,-8.44,0.00,0.61,-0.37,-29.23,1100,1100,1100,1100,1060,1500,1508,11170,934
142561,9,0.08,0.03,-0.00,0.006,-0.073,0.994,-4.39,2.46,0.00,2.25,4.39,-0.21,0.00,15.36,-0.72,15.28,-0.75,0.00,0.58,-0.03,-0.25,1100,1100,1100,1100,1018,1500,1525,11166,934
142572,9,-0.04,-0.03,-0.06,0.007,-0.074,0.992,-4.40,2.52,0.00,2.25,4.40,-0.27,0.00,15.41,-0.95,15.45,-0.92,0.00,0.64,-0.01,0.64,1100,1100,1100,1100,1018,1500,1525,11166,934
142584,9,-0.04,-0.03,-0.00,0.004,-0.069,1.003,-4.31,2.50,0.00,0.00,4.31,-2.50,0.00,15.09,-8.74,15.13,-8.71,0.00,0.62,-0.33,-0.64,1100,1100,1100,1100,1024,1500,1520,11170,934
142596,9,0.02,0.02,0.01,0.002,-0.069,1.000,-4.30,2.41,0.00,0.00,4.30,-2.41,0.00,15.05,-8.44,15.04,-8.46,0.00,0.59,-0.35,0.02,1100,1100,1100,1100,1024,1500,1520,11166,934
142609,9,0.02,0.08,0.00,-0.000,-0.072,1.000,-4.32,2.33,0.00,0.00,4.32,-2.33,0.00,15.12,-8.17,15.10,-8.25,0.00,0.60,-0.36,0.20,1100,1100,1100,1100,1033,1500,1511,11166,934
142621,9,-0.04,0.08,0.00,0.004,-0.072,1.000,-4.31,2.37,0.00,0.00,4.31,-2.37,0.00,15.08,-8.30,15.12,-8.38,0.00,0.62,-0.37,0.28,1100,1100,1100,1100,1033,1500,1511,11166,934
142632,9,-0.16,0.03,0.01,0.001,-0.071,1.000,-4.32,2.35,0.00,0.00,4.32,-2.35,0.00,15.11,-8.24,15.27,-8.27,0.00,0.66,-0.33,0.38,1100,1100,1100,1100,1033,1500,1511,11158,934
142645,9,-0.09,-0.02,-0.12,0.004,-0.072,0.998,-4.36,2.37,0.00,0.00,4.36,-2.37,0.00,15.26,-8.28,15.35,-8.26,0.00,0.65,-0.28,2.02,1100,1100,1100,1100,1036,1500,1507,11145,998
142656,9,0.02,0.09,0.06,0.008,-0.072,0.995,-4.29,2.43,0.00,0.00,4.29,-2.43,0.00,15.03,-8.52,15.01,-8.61,0.00,0.58,-0.34,-1.18,1100,1100,1100,1100,1036,1500,1507,11145,998
142669,9,0.02,0.20,-0.11,0.005,-0.074,0.995,-4.37,2.38,0.00,0.00,4.37,-2.38,0.00,15.29,-8.33,15.27,-8.53,0.00,0.60,-0.40,2.91,1100,1100,1100,1100,1035,1500,1508,11141,998
142681,9,0.02,-0.03,-0.24,0.005,-0.076,0.998,-4.43,2.37,0.00,0.00,4.43,-2.37,0.00,15.50,-8.31,15.47,-8.28,0.00,0.63,-0.30,3.57,1100,1100,1100,1100,1034,1500,1510,11133,998
142692,9,-0.04,0.03,0.18,-0.000,-0.075,1.005,-4.37,2.35,0.00,0.00,4.37,-2.35,0.00,15.31,-8.22,15.35,-8.26,0.00,0.64,-0.32,-4.19,1100,1100,1100,1100,1034,1500,1510,11133,998
