for 0.6
Front Nose down 
A:  -0.7 -31.4 | G:    0.4    9.2   -1.4 | P:   0.6  32.2   2.8 | M: 1134 1066 1070 1130 | V: 11907 | T: 690 us
A:  -0.7 -32.9 | G:    1.0    5.6   -1.7 | P:   0.2  36.2   3.4 | M: 1139 1061 1067 1133 | V: 11907 | T: 690 us
A:  -1.0 -33.8 | G:   -0.2    1.4    0.1 | P:   1.3  39.8  -0.1 | M: 1138 1060 1062 1140 | V: 11907 | T: 690 us
A:  -0.9 -34.5 | G:   -0.4    0.4    0.8 | P:   1.3  41.2  -1.7 | M: 1139 1059 1059 1143 | V: 11907 | T: 690 us
A:  -0.8 -34.5 | G:   -0.0    0.9    0.3 | P:   1.0  40.8  -0.6 | M: 1140 1060 1060 1140 | V: 11903 | T: 690 us
A:  -0.8 -34.3 | G:   -0.1    1.6   -0.1 | P:   1.0  40.2   0.1 | M: 1140 1060 1060 1140 | V: 11903 | T: 690 us
A:  -0.8 -34.6 | G:   -0.2    1.6    0.1 | P:   1.1  40.5  -0.2 | M: 1139 1059 1061 1141 | V: 11911 | T: 690 us
A:  -0.8 -34.6 | G:    0.1    2.1   -0.1 | P:   0.9  40.3   0.1 | M: 1140 1060 1060 1140 | V: 11903 | T: 690 us
A:  -0.8 -34.5 | G:   -0.2    4.8    0.1 | P:   1.1  38.6  -0.1 | M: 1137 1061 1063 1139 | V: 11907 | T: 690 us
A:  -0.7 -34.9 | G:   -0.0    6.5   -0.4 | P:   0.9  38.0   0.8 | M: 1137 1063 1063 1137 | V: 11907 | T: 690 us
A:  -0.9 -35.7 | G:    0.3    4.0   -0.3 | P:   0.9  40.5   0.6 | M: 1140 1060 1060 1140 | V: 11907 | T: 690 us
A:  -0.9 -36.4 | G:   -0.1    2.4   -0.0 | P:   1.1  42.3   0.0 | M: 1141 1057 1059 1143 | V: 11907 | T: 689 us
A:  -1.0 -37.1 | G:   -0.6   -0.4    0.3 | P:   1.5  44.8  -0.6 | M: 1143 1055 1057 1145 | V: 11907 | T: 690 us
A:  -0.9 -37.3 | G:    0.1   -1.2   -0.1 | P:   1.1  45.5   0.1 | M: 1144 1054 1056 1146 | V: 11903 | T: 690 us
A:  -0.9 -36.9 | G:   -0.2    2.4    0.1 | P:   1.2  42.8  -0.2 | M: 1141 1057 1059 1143 | V: 11907 | T: 690 us
A:  -1.0 -37.4 | G:   -0.0   -1.0   -0.1 | P:   1.2  45.4   0.1 | M: 1144 1054 1056 1146 | V: 11903 | T: 689 us
A:  -1.0 -37.5 | G:   -0.3   -3.0    0.4 | P:   1.4  46.8  -0.7 | M: 1145 1053 1055 1147 | V: 11903 | T: 690 us
A:  -0.8 -37.0 | G:    0.3    0.4   -0.1 | P:   0.8  44.2   0.3 | M: 1144 1056 1056 1144 | V: 11907 | T: 690 us
A:  -0.9 -37.8 | G:   -0.1   -6.5    0.2 | P:   1.2  49.3  -0.3 | M: 1148 1050 1052 1150 | V: 11907 | T: 690 us
