time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
190847,0,0.03,-0.03,-0.01,0.040,-0.074,0.999,0.00,0.00,0.00,0.00,-0.03,0.03,-0.00,0.00,0.00,-0.08,-0.01,0.03,1000,1000,1000,1000,1024,1501,1518,0,731
190859,0,0.01,-0.07,0.01,0.040,-0.073,1.000,0.00,0.00,0.00,0.00,-0.01,0.07,-0.00,0.00,0.00,-0.07,0.18,-0.03,1000,1000,1000,1000,1024,1501,1518,0,731
190871,0,0.01,-0.04,-0.08,0.040,-0.073,0.999,0.00,0.00,0.00,0.00,-0.01,0.04,-0.00,0.00,0.00,0.02,-0.03,0.19,1000,1000,1000,1000,1024,1501,1518,0,731
190883,0,-0.03,-0.04,-0.05,0.040,-0.073,0.999,0.00,0.00,0.00,0.00,0.03,0.04,-0.00,0.00,0.00,0.07,-0.03,0.14,1000,1000,1000,1000,1024,1501,1518,0,731
190895,0,-0.00,-0.00,-0.02,0.040,-0.073,0.999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,-0.03,0.06,1000,1000,1000,1000,1024,1501,1518,0,731
190907,0,-0.01,0.01,-0.08,0.040,-0.074,0.999,0.00,0.00,0.00,0.00,0.01,-0.01,-0.00,0.00,0.01,0.03,-0.08,0.20,1000,1000,1000,1000,1024,1501,1518,0,731
190919,0,-0.01,-0.03,-0.07,0.040,-0.074,0.999,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.01,-0.05,0.03,0.18,1100,1100,1100,1100,1024,1501,1518,0,731
190931,0,0.01,0.07,0.00,0.040,-0.075,0.998,0.00,0.00,0.00,0.00,-0.01,-0.07,0.00,0.00,0.01,-0.09,-0.33,0.01,1100,1100,1100,1100,1024,1501,1518,0,731
190943,0,0.10,0.17,-0.02,0.040,-0.075,0.998,0.00,0.00,0.00,0.00,-0.10,-0.17,0.00,0.00,0.01,-0.47,-0.60,0.07,1100,1100,1100,1100,1025,1501,1518,0,731
190955,0,0.20,0.21,-0.05,0.040,-0.075,0.998,0.00,0.00,0.00,0.00,-0.20,-0.21,-0.00,0.00,0.01,-0.80,-0.85,0.13,1100,1100,1100,1100,1023,1500,1519,0,731
