time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
112919,9,0.08,-0.01,0.03,0.004,-0.057,0.888,-2.22,-0.01,0.00,0.00,2.22,0.01,0.00,7.78,0.04,7.70,0.04,0.00,0.30,0.00,-0.21,1000,1000,1000,1000,1031,1500,1502,12061,820
112931,9,0.12,0.03,0.09,0.005,-0.058,0.890,-2.22,0.00,0.00,0.00,2.22,-0.00,0.00,7.76,-0.00,7.64,-0.03,0.00,0.29,-0.01,-1.01,1000,1000,1000,1000,1031,1500,1502,12061,820
112943,9,0.12,0.03,0.07,0.006,-0.058,0.890,-2.23,0.01,0.00,0.00,2.23,-0.01,0.00,7.80,-0.03,7.67,-0.07,0.00,0.30,-0.01,-0.22,1000,1000,1000,1000,1031,1500,1502,12061,820
112954,9,0.12,-0.03,0.05,0.005,-0.058,0.891,-2.23,0.02,0.00,0.00,2.23,-0.02,0.00,7.80,-0.07,7.68,-0.04,0.00,0.30,0.01,0.13,1100,1100,1100,1100,1031,1500,1502,12061,828
112966,9,0.12,-0.04,0.07,0.006,-0.058,0.889,-2.24,0.04,0.00,0.00,2.24,-0.04,0.00,7.82,-0.14,7.70,-0.10,0.00,0.31,0.01,-0.44,1100,1100,1100,1100,1031,1500,1502,12061,828
112979,9,0.13,-0.05,0.04,0.004,-0.058,0.889,-2.23,0.04,0.00,0.00,2.23,-0.04,0.00,7.82,-0.14,7.68,-0.09,0.00,0.31,0.00,0.06,1100,1100,1100,1100,1031,1500,1502,12061,828
112991,9,0.18,-0.03,0.07,0.003,-0.059,0.889,-2.24,0.02,0.00,0.00,2.24,-0.02,0.00,7.84,-0.05,7.66,-0.02,0.00,0.29,-0.00,-0.56,1100,1100,1100,1100,1031,1500,1502,12061,828
113002,9,0.13,0.00,0.10,0.004,-0.059,0.890,-2.25,-0.00,0.00,0.00,2.25,0.00,0.00,7.89,0.01,7.76,0.01,0.00,0.32,-0.01,-0.79,1100,1100,1100,1100,1031,1500,1502,12061,828
113014,9,0.11,0.04,0.10,0.003,-0.058,0.890,-2.26,-0.01,0.00,0.00,2.26,0.01,0.00,7.89,0.03,7.78,-0.00,0.00,0.32,-0.02,-0.62,1100,1100,1100,1100,1031,1500,1502,12057,828
113026,9,0.10,0.01,0.05,0.003,-0.059,0.891,-2.25,-0.02,0.00,0.00,2.25,0.02,0.00,7.88,0.06,7.78,0.05,0.00,0.32,-0.01,0.28,1100,1100,1100,1100,1031,1500,1502,12057,828
113039,9,0.12,-0.01,0.03,0.003,-0.057,0.891,-2.23,-0.02,0.00,0.00,2.23,0.02,0.00,7.80,0.06,7.68,0.06,0.00,0.31,0.00,0.35,1100,1100,1100,1100,1031,1500,1502,12044,828
113051,9,0.09,-0.06,0.17,0.003,-0.059,0.894,-2.22,-0.02,0.00,0.00,2.22,0.02,0.00,7.78,0.06,7.70,0.12,0.00,0.31,0.03,-2.14,1100,1100,1100,1100,1031,1500,1502,12049,828
113062,9,0.05,-0.13,0.22,0.003,-0.061,0.891,-2.25,-0.02,0.00,0.00,2.25,0.02,0.00,7.88,0.08,7.83,0.21,0.00,0.33,0.04,-2.08,1100,1100,1100,1100,1031,1500,1502,12044,828
113074,9,0.12,-0.06,0.05,0.003,-0.057,0.893,-2.24,-0.02,0.00,0.00,2.24,0.02,0.00,7.83,0.08,7.71,0.13,0.00,0.29,0.00,1.16,1100,1100,1100,1100,1031,1500,1502,12049,828
113086,9,0.21,-0.03,-0.12,0.005,-0.057,0.889,-2.22,-0.01,0.00,0.00,2.22,0.01,0.00,7.78,0.05,7.58,0.08,0.00,0.26,-0.00,3.34,1100,1100,1100,1100,1031,1500,1502,12040,828
113099,9,0.15,0.01,-0.29,0.006,-0.054,0.889,-2.19,0.00,0.00,0.00,2.19,-0.00,0.00,7.68,-0.01,7.53,-0.02,0.00,0.30,-0.02,4.54,1100,1100,1100,1100,1031,1500,1502,12036,828
113111,9,0.12,0.01,-0.12,0.007,-0.057,0.894,-2.16,0.03,0.00,0.00,2.16,-0.03,0.00,7.57,-0.10,7.45,-0.10,0.00,0.30,-0.01,-0.16,1100,1100,1100,1100,1031,1500,1502,12032,828
113122,9,0.01,-0.01,0.31,0.002,-0.057,0.890,-2.18,0.05,0.00,0.00,2.18,-0.05,0.00,7.63,-0.16,7.63,-0.15,0.00,0.34,-0.00,-6.62,1100,1100,1100,1100,1031,1500,1502,12032,828
113134,9,0.00,-0.10,0.35,0.001,-0.054,0.887,-2.19,-0.01,0.00,0.00,2.19,0.01,0.00,7.67,0.03,7.67,0.13,0.00,0.32,0.08,-4.38,1100,1100,1100,1100,1031,1500,1503,12032,828
113147,9,0.22,-0.21,0.21,0.007,-0.062,0.891,-2.19,0.06,0.00,0.00,2.19,-0.06,0.00,7.68,-0.22,7.46,-0.01,0.00,0.21,0.10,-0.53,1100,1100,1100,1100,1031,1500,1502,12032,828
113159,9,0.46,-0.23,-0.09,0.006,-0.053,0.886,-2.15,0.08,0.00,0.00,2.15,-0.08,0.00,7.52,-0.27,7.06,-0.04,0.00,0.13,0.08,4.48,1100,1100,1100,1100,1031,1500,1502,12011,840
113171,9,0.40,0.03,-0.66,0.002,-0.057,0.904,-2.17,0.04,0.00,0.00,2.17,-0.04,0.00,7.61,-0.14,7.21,-0.17,0.00,0.18,0.02,11.14,1100,1100,1100,1100,1031,1500,1502,11995,840
113182,9,0.12,0.14,-0.22,0.005,-0.048,0.895,-2.08,0.02,0.00,0.00,2.08,-0.02,0.00,7.27,-0.07,7.15,-0.21,0.00,0.30,0.02,-0.45,1100,1100,1100,1100,1031,1500,1502,11978,840
113194,9,0.28,0.62,0.69,0.003,-0.068,0.887,-2.08,-0.02,0.00,0.00,2.08,0.02,0.00,7.28,0.07,7.00,-0.55,0.00,0.20,-0.13,-14.29,1100,1100,1100,1100,1031,1500,1502,11990,840
113206,9,0.22,0.49,0.41,-0.007,-0.060,0.900,-2.26,-0.21,0.00,0.00,2.26,0.21,0.00,7.92,0.74,7.70,0.25,0.00,0.22,0.04,-4.12,1100,1100,1100,1100,1031,1500,1502,11986,840
113219,9,0.21,-0.31,-0.41,0.013,-0.057,0.884,-2.34,-0.27,0.00,0.00,2.34,0.27,0.00,8.18,0.94,7.98,1.25,0.00,0.26,0.37,10.75,1100,1100,1100,1100,1031,1500,1502,11970,840
113231,9,0.40,-0.21,-0.34,0.006,-0.042,0.887,-2.24,-0.28,0.00,0.00,2.24,0.28,0.00,7.84,0.99,7.44,1.20,0.00,0.18,0.21,4.45,1100,1100,1100,1100,1031,1500,1502,11957,840
