time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
78379,9,0.09,-0.00,0.06,0.011,-0.053,0.887,-1.88,0.50,0.00,0.00,1.88,-0.50,0.00,6.59,-1.75,6.49,-1.75,0.00,0.25,-0.07,-0.58,1000,1000,1000,1000,1038,1500,1507,12111,814
78391,9,0.07,-0.03,0.04,0.012,-0.054,0.888,-1.90,0.50,0.00,0.00,1.90,-0.50,0.00,6.65,-1.76,6.58,-1.73,0.00,0.27,-0.06,-0.12,1000,1000,1000,1000,1038,1500,1507,12111,814
78402,9,0.11,-0.03,0.02,0.012,-0.053,0.891,-1.92,0.50,0.00,0.00,1.92,-0.50,0.00,6.71,-1.75,6.60,-1.72,0.00,0.25,-0.06,0.09,1000,1000,1000,1000,1038,1500,1507,12111,814
78414,9,0.09,-0.03,0.05,0.011,-0.051,0.889,-1.89,0.49,0.00,0.00,1.89,-0.49,0.00,6.62,-1.71,6.53,-1.68,0.00,0.26,-0.06,-0.37,1000,1000,1000,1000,1038,1500,1507,12111,814
78426,9,0.07,0.01,0.09,0.011,-0.052,0.890,-1.88,0.48,0.00,0.00,1.88,-0.48,0.00,6.59,-1.69,6.53,-1.70,0.00,0.27,-0.08,-0.87,1000,1000,1000,1000,1038,1500,1507,12111,814
78439,9,0.06,-0.04,0.05,0.012,-0.053,0.890,-1.89,0.48,0.00,0.00,1.89,-0.48,0.00,6.62,-1.69,6.56,-1.65,0.00,0.27,-0.06,0.01,1000,1000,1000,1000,1038,1500,1507,12111,814
78451,9,0.09,-0.03,0.01,0.011,-0.053,0.889,-1.90,0.47,0.00,0.00,1.90,-0.47,0.00,6.63,-1.66,6.54,-1.63,0.00,0.25,-0.06,0.57,1100,1100,1100,1100,1038,1500,1507,12111,814
78462,9,0.07,-0.03,0.03,0.012,-0.055,0.889,-1.92,0.48,0.00,0.00,1.92,-0.48,0.00,6.71,-1.69,6.65,-1.66,0.00,0.27,-0.07,-0.08,1100,1100,1100,1100,1038,1500,1507,12111,814
78474,9,0.09,-0.07,0.11,0.014,-0.053,0.889,-1.91,0.51,0.00,0.00,1.91,-0.51,0.00,6.70,-1.80,6.60,-1.73,0.00,0.25,-0.05,-1.55,1100,1100,1100,1100,1038,1500,1507,12103,814
78486,9,0.07,-0.03,0.15,0.013,-0.053,0.890,-1.91,0.53,0.00,0.00,1.91,-0.53,0.00,6.70,-1.86,6.63,-1.83,0.00,0.27,-0.07,-1.24,1100,1100,1100,1100,1038,1500,1507,12099,814
78499,9,0.07,-0.01,-0.05,0.012,-0.052,0.891,-1.91,0.53,0.00,0.00,1.91,-0.53,0.00,6.69,-1.86,6.61,-1.84,0.00,0.26,-0.08,2.38,1100,1100,1100,1100,1038,1500,1507,12099,814
78511,9,0.11,0.09,-0.10,0.011,-0.052,0.890,-1.90,0.52,0.00,0.00,1.90,-0.52,0.00,6.63,-1.81,6.52,-1.90,0.00,0.24,-0.11,1.89,1100,1100,1100,1100,1038,1500,1507,12090,814
78522,9,0.02,0.00,0.09,0.013,-0.055,0.890,-1.92,0.52,0.00,0.00,1.92,-0.52,0.00,6.71,-1.81,6.68,-1.81,0.00,0.29,-0.05,-1.95,1100,1100,1100,1100,1038,1500,1507,12094,814
78535,9,0.07,-0.09,0.11,0.013,-0.052,0.888,-1.91,0.53,0.00,0.00,1.91,-0.53,0.00,6.68,-1.87,6.61,-1.78,0.00,0.26,-0.03,-1.30,1100,1100,1100,1100,1038,1500,1507,12094,814
78546,9,0.19,-0.09,0.00,0.011,-0.051,0.889,-1.88,0.52,0.00,0.00,1.88,-0.52,0.00,6.59,-1.82,6.39,-1.73,0.00,0.21,-0.05,0.76,1100,1100,1100,1100,1038,1500,1507,12086,814
78559,9,0.20,-0.05,-0.04,0.011,-0.054,0.888,-1.90,0.50,0.00,0.00,1.90,-0.50,0.00,6.66,-1.75,6.46,-1.70,0.00,0.23,-0.06,0.90,1100,1100,1100,1100,1038,1500,1507,12078,814
78571,9,-0.00,-0.04,0.24,0.012,-0.053,0.889,-1.94,0.48,0.00,0.00,1.94,-0.48,0.00,6.78,-1.68,6.79,-1.64,0.00,0.33,-0.06,-3.91,1100,1100,1100,1100,1038,1500,1507,12086,814
78582,9,0.05,0.02,0.42,0.010,-0.052,0.891,-1.95,0.44,0.00,0.00,1.95,-0.44,0.00,6.83,-1.54,6.78,-1.55,0.00,0.28,-0.08,-4.98,1100,1100,1100,1100,1038,1500,1507,12090,814
