time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
283499,9,0.08,-0.03,0.01,0.015,-0.066,0.887,-2.86,0.78,0.00,0.00,2.86,-0.78,0.00,10.00,-2.74,9.93,-2.71,0.00,0.39,-0.11,0.23,1000,1000,1000,1000,1034,1500,1506,11915,823
283511,9,0.12,-0.03,-0.03,0.015,-0.068,0.888,-2.85,0.77,0.00,0.00,2.85,-0.77,0.00,9.99,-2.70,9.87,-2.67,0.00,0.38,-0.11,0.52,1000,1000,1000,1000,1034,1500,1506,11915,823
283522,9,0.12,-0.04,0.02,0.016,-0.067,0.889,-2.84,0.77,0.00,0.00,2.84,-0.77,0.00,9.95,-2.68,9.83,-2.63,0.00,0.38,-0.10,-0.50,1000,1000,1000,1000,1034,1500,1506,11915,823
283534,9,0.11,-0.03,0.04,0.017,-0.068,0.889,-2.84,0.78,0.00,0.00,2.84,-0.78,0.00,9.96,-2.72,9.85,-2.69,0.00,0.39,-0.11,-0.49,1000,1000,1000,1000,1034,1500,1506,11915,823
283546,9,0.09,-0.04,0.01,0.014,-0.068,0.888,-2.86,0.76,0.00,0.00,2.86,-0.76,0.00,10.00,-2.64,9.91,-2.61,0.00,0.40,-0.11,0.22,1000,1000,1000,1000,1034,1500,1506,11911,823
283559,9,0.11,-0.01,0.04,0.013,-0.069,0.889,-2.87,0.72,0.00,0.00,2.87,-0.72,0.00,10.05,-2.51,9.94,-2.50,0.00,0.39,-0.11,36.25,1100,1100,1100,1100,1034,1500,1506,11911,867
283571,9,0.12,-0.03,0.04,0.015,-0.068,0.889,-2.88,0.71,0.00,0.00,2.88,-0.71,0.00,10.07,-2.47,9.95,-2.44,0.00,0.39,-0.10,-0.26,1100,1100,1100,1100,1034,1500,1506,11911,867
283582,9,0.12,0.00,0.04,0.015,-0.069,0.887,-2.87,0.71,0.00,0.00,2.87,-0.71,0.00,10.06,-2.47,9.94,-2.47,0.00,0.39,-0.11,-0.21,1100,1100,1100,1100,1034,1500,1506,11911,867
283594,9,0.12,-0.03,-0.08,0.016,-0.068,0.890,-2.89,0.72,0.00,0.00,2.89,-0.72,0.00,10.11,-2.53,9.99,-2.50,0.00,0.40,-0.10,1.57,1100,1100,1100,1100,1034,1500,1506,11911,867
283606,9,0.12,0.00,0.04,0.016,-0.066,0.889,-2.87,0.73,0.00,0.00,2.87,-0.73,0.00,10.03,-2.56,9.91,-2.56,0.00,0.40,-0.11,-1.13,1100,1100,1100,1100,1034,1500,1506,11911,867
283619,9,0.09,-0.06,0.18,0.015,-0.067,0.890,-2.85,0.73,0.00,0.00,2.85,-0.73,0.00,9.97,-2.55,9.88,-2.49,0.00,0.41,-0.08,32.52,1100,1100,1100,1100,1034,1500,1506,11911,867
283631,9,0.11,-0.04,0.06,0.015,-0.067,0.889,-2.84,0.72,0.00,0.00,2.84,-0.72,0.00,9.94,-2.52,9.83,-2.48,0.00,0.39,-0.10,0.36,1100,1100,1100,1100,1034,1500,1506,11899,867
283643,9,0.12,-0.08,-0.07,0.015,-0.067,0.890,-2.84,0.72,0.00,0.00,2.84,-0.72,0.00,9.94,-2.51,9.82,-2.43,0.00,0.39,-0.08,1.86,1100,1100,1100,1100,1034,1500,1506,11895,867
283654,9,0.13,-0.06,-0.03,0.015,-0.068,0.888,-2.83,0.71,0.00,0.00,2.83,-0.71,0.00,9.92,-2.49,9.78,-2.44,0.00,0.39,-0.10,0.51,1100,1100,1100,1100,1034,1500,1506,11890,863
283666,9,0.12,-0.05,0.05,0.015,-0.068,0.887,-2.84,0.71,0.00,0.00,2.84,-0.71,0.00,9.94,-2.49,9.82,-2.44,0.00,0.40,-0.10,-0.73,1100,1100,1100,1100,1034,1500,1506,11895,863
283679,9,0.09,-0.05,0.09,0.015,-0.068,0.887,-2.86,0.71,0.00,0.00,2.86,-0.71,0.00,10.00,-2.49,9.91,-2.45,0.00,0.41,-0.10,32.88,1100,1100,1100,1100,1034,1500,1506,11878,863
283691,9,0.11,-0.10,0.10,0.016,-0.068,0.885,-2.86,0.73,0.00,0.00,2.86,-0.73,0.00,10.01,-2.56,9.90,-2.46,0.00,0.40,-0.07,-0.83,1100,1100,1100,1100,1034,1500,1506,11878,863
283702,9,0.12,-0.08,0.09,0.016,-0.072,0.890,-2.88,0.72,0.00,0.00,2.88,-0.72,0.00,10.06,-2.53,9.94,-2.46,0.00,0.39,-0.08,-0.25,1100,1100,1100,1100,1034,1500,1506,11865,863
283714,9,0.13,0.03,-0.05,0.016,-0.066,0.891,-2.87,0.70,0.00,0.00,2.87,-0.70,0.00,10.04,-2.45,9.91,-2.47,0.00,0.38,-0.12,1.59,1100,1100,1100,1100,1034,1500,1506,11861,863
283726,9,0.19,0.12,-0.01,0.009,-0.064,0.887,-2.83,0.63,0.00,0.00,2.83,-0.63,0.00,9.91,-2.22,9.72,-2.34,0.00,0.34,-0.16,0.50,1100,1100,1100,1100,1034,1500,1506,11865,863
283739,9,-0.05,-0.13,-0.07,0.016,-0.071,0.887,-2.87,0.63,0.00,0.00,2.87,-0.63,0.00,10.05,-2.22,10.10,-2.08,0.00,0.48,-0.03,36.62,1100,1100,1100,1100,1034,1500,1506,11857,863
283751,9,0.19,0.14,0.03,0.013,-0.071,0.896,-2.83,0.60,0.00,0.00,2.83,-0.60,0.00,9.90,-2.11,9.71,-2.25,0.00,0.36,-0.13,-0.99,1100,1100,1100,1100,1034,1498,1506,11849,870
283762,9,0.28,-0.02,0.21,0.005,-0.063,0.892,-2.81,0.48,0.00,0.00,2.81,-0.48,0.00,9.84,-1.66,9.56,-1.64,0.00,0.30,-0.05,-3.62,1100,1100,1100,1100,1034,1498,1506,11841,870
283774,9,-0.11,0.34,0.18,-0.006,-0.074,0.898,-2.86,0.31,0.00,0.00,2.86,-0.31,0.00,10.01,-1.09,10.12,-1.43,0.00,0.48,-0.17,-1.93,1100,1100,1100,1100,1034,1500,1506,11824,870
283786,9,-0.07,0.03,0.00,-0.002,-0.082,0.900,-3.00,0.19,0.00,0.00,3.00,-0.19,0.00,10.51,-0.67,10.58,-0.70,0.00,0.48,0.02,1.45,1100,1100,1100,1100,1034,1500,1506,11824,870
283799,9,0.18,0.35,0.10,0.010,-0.063,0.903,-2.99,0.09,0.00,0.00,2.99,-0.09,0.00,10.46,-0.31,10.28,-0.66,0.00,0.37,-0.09,33.18,1100,1100,1100,1100,1034,1500,1506,11807,870
283811,9,0.25,0.05,0.08,0.026,-0.063,0.880,-2.93,0.27,0.00,0.00,2.93,-0.27,0.00,10.25,-0.93,10.00,-0.98,0.00,0.34,0.06,-0.13,1100,1100,1100,1100,1034,1500,1506,11795,870
283822,9,-0.07,-0.97,-0.04,0.041,-0.079,0.879,-3.03,0.71,0.00,0.00,3.03,-0.71,0.00,10.61,-2.48,10.68,-1.51,0.00,0.52,0.31,1.85,1100,1100,1100,1100,1034,1500,1506,11786,870
283834,9,0.05,-0.56,-0.13,0.032,-0.065,0.878,-3.03,1.03,0.00,0.00,3.03,-1.03,0.00,10.59,-3.60,10.54,-3.04,0.00,0.44,-0.06,1.84,1100,1100,1100,1100,1034,1500,1506,11766,870
283847,9,0.37,0.24,-0.05,0.009,-0.068,0.902,-3.00,0.94,0.00,0.00,3.00,-0.94,0.00,10.48,-3.30,10.11,-3.54,0.00,0.29,-0.39,0.11,1100,1100,1100,1100,1034,1500,1506,11741,870
