time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
242399,9,0.12,0.03,0.06,0.010,-0.050,0.888,-1.80,0.38,0.00,0.00,1.80,-0.38,0.00,6.31,-1.31,6.19,-1.34,0.00,0.23,-0.07,-0.38,1000,1000,1000,1000,1034,1500,1508,11945,819
242411,9,0.12,-0.02,0.05,0.011,-0.052,0.887,-1.80,0.38,0.00,0.00,1.80,-0.38,0.00,6.30,-1.34,6.17,-1.32,0.00,0.24,-0.05,-0.09,1000,1000,1000,1000,1033,1500,1508,11945,819
242422,9,0.04,-0.04,-0.01,0.011,-0.051,0.886,-1.81,0.39,0.00,0.00,1.81,-0.39,0.00,6.34,-1.36,6.29,-1.31,0.00,0.27,-0.04,0.75,1000,1000,1000,1000,1033,1500,1508,11945,819
242434,9,0.11,-0.08,0.08,0.010,-0.050,0.887,-1.79,0.40,0.00,0.00,1.79,-0.40,0.00,6.28,-1.38,6.16,-1.31,0.00,0.24,-0.04,-0.93,1000,1000,1000,1000,1034,1500,1508,11945,819
242446,9,0.11,-0.04,0.11,0.010,-0.053,0.887,-1.81,0.39,0.00,0.00,1.81,-0.39,0.00,6.33,-1.36,6.22,-1.33,0.00,0.25,-0.06,-0.90,1000,1000,1000,1000,1034,1500,1508,11945,819
242459,9,0.11,-0.01,0.05,0.009,-0.051,0.888,-1.82,0.37,0.00,0.00,1.82,-0.37,0.00,6.38,-1.30,6.27,-1.29,0.00,0.25,-0.06,31.70,1100,1100,1100,1100,1034,1500,1508,11945,819
242471,9,0.10,-0.03,0.02,0.010,-0.049,0.889,-1.79,0.36,0.00,0.00,1.79,-0.36,0.00,6.26,-1.26,6.16,-1.23,0.00,0.25,-0.05,0.34,1100,1100,1100,1100,1034,1500,1508,11945,819
242483,9,0.09,-0.06,0.08,0.009,-0.053,0.887,-1.81,0.35,0.00,0.00,1.81,-0.35,0.00,6.33,-1.23,6.23,-1.18,0.00,0.25,-0.03,-0.89,1100,1100,1100,1100,1034,1500,1508,11940,819
242494,9,0.09,-0.03,0.11,0.013,-0.051,0.886,-1.82,0.37,0.00,0.00,1.82,-0.37,0.00,6.36,-1.30,6.27,-1.28,0.00,0.25,-0.06,40.56,1100,1100,1100,1100,1033,1500,1508,11940,819
242506,9,0.14,0.02,0.08,0.009,-0.049,0.889,-1.79,0.38,0.00,0.00,1.79,-0.38,0.00,6.27,-1.33,6.12,-1.35,0.00,0.22,-0.07,41.57,1100,1100,1100,1100,1033,1500,1508,11936,819
242519,9,0.14,-0.04,-0.09,0.008,-0.051,0.887,-1.79,0.36,0.00,0.00,1.79,-0.36,0.00,6.25,-1.25,6.11,-1.21,0.00,0.23,-0.04,36.48,1100,1100,1100,1100,1033,1500,1508,11940,819
242531,9,0.07,0.08,-0.04,0.008,-0.049,0.890,-1.79,0.32,0.00,0.00,1.79,-0.32,0.00,6.26,-1.11,6.18,-1.19,0.00,0.26,-0.09,0.62,1100,1100,1100,1100,1034,1500,1508,11936,819
242542,9,0.16,0.07,0.03,0.011,-0.050,0.888,-1.77,0.32,0.00,0.00,1.77,-0.32,0.00,6.20,-1.12,6.04,-1.19,0.00,0.22,-0.06,-0.59,1100,1100,1100,1100,1034,1500,1508,11928,819
242554,9,0.16,-0.02,0.04,0.011,-0.052,0.887,-1.78,0.35,0.00,0.00,1.78,-0.35,0.00,6.24,-1.22,6.08,-1.20,0.00,0.23,-0.03,-0.48,1100,1100,1100,1100,1034,1500,1508,11920,819
242566,9,0.04,0.04,0.02,0.012,-0.050,0.885,-1.79,0.37,0.00,0.00,1.79,-0.37,0.00,6.27,-1.28,6.24,-1.32,0.00,0.28,-0.06,-0.13,1100,1100,1100,1100,1033,1500,1508,11924,819
242579,9,0.07,-0.01,0.12,0.012,-0.051,0.886,-1.79,0.39,0.00,0.00,1.79,-0.39,0.00,6.25,-1.37,6.18,-1.37,0.00,0.26,-0.05,31.11,1100,1100,1100,1100,1033,1500,1508,11924,819
242591,9,0.21,-0.02,0.06,0.009,-0.055,0.888,-1.80,0.41,0.00,0.00,1.80,-0.41,0.00,6.32,-1.42,6.11,-1.40,0.00,0.20,-0.05,39.01,1100,1100,1100,1100,1033,1500,1508,11928,819
242602,9,0.10,0.05,0.02,0.007,-0.051,0.888,-1.82,0.39,0.00,0.00,1.82,-0.39,0.00,6.38,-1.38,6.28,-1.42,0.00,0.26,-0.09,39.46,1100,1100,1100,1100,1033,1500,1508,11924,819
242614,9,-0.13,0.37,0.07,0.005,-0.054,0.898,-1.84,0.35,0.00,0.00,1.84,-0.35,0.00,6.44,-1.22,6.57,-1.59,0.00,0.36,-0.21,-0.64,1100,1100,1100,1100,1033,1500,1508,11911,819
242626,9,0.21,0.06,-0.19,0.010,-0.052,0.885,-1.83,0.31,0.00,0.00,1.83,-0.31,0.00,6.39,-1.10,6.19,-1.16,0.00,0.20,-0.03,4.04,1100,1100,1100,1100,1033,1500,1508,11903,819
242639,9,0.04,-0.62,0.03,0.010,-0.044,0.887,-1.82,0.38,0.00,0.00,1.82,-0.38,0.00,6.37,-1.31,6.33,-0.69,0.00,0.28,0.21,31.49,1100,1100,1100,1100,1033,1500,1508,11878,819
242651,9,0.03,-0.11,0.27,0.015,-0.054,0.888,-1.81,0.40,0.00,0.00,1.81,-0.40,0.00,6.33,-1.40,6.30,-1.29,0.00,0.29,-0.03,-4.37,1100,1100,1100,1100,1033,1500,1508,11878,820
242662,9,-0.02,0.05,0.12,0.021,-0.052,0.892,-1.79,0.49,0.00,0.00,1.79,-0.49,0.00,6.27,-1.72,6.28,-1.77,0.00,0.30,-0.14,-0.20,1100,1100,1100,1100,1033,1500,1508,11861,820
242674,9,-0.14,-0.17,0.01,0.020,-0.047,0.873,-1.79,0.60,0.00,0.00,1.79,-0.60,0.00,6.26,-2.11,6.40,-1.94,0.00,0.34,-0.12,1.29,1100,1100,1100,1100,1033,1500,1508,11853,820
242687,9,0.11,-0.41,-0.10,0.022,-0.056,0.882,-1.79,0.67,0.00,0.00,1.79,-0.67,0.00,6.27,-2.35,6.16,-1.94,0.00,0.22,0.00,2.55,1100,1100,1100,1100,1033,1500,1508,11841,820
242699,9,0.15,0.18,0.01,0.013,-0.053,0.907,-1.85,0.71,0.00,0.00,1.85,-0.71,0.00,6.48,-2.49,6.34,-2.67,0.00,0.23,-0.25,91.11,1100,1100,1100,1100,1033,1500,1508,11811,820
242711,9,-0.01,0.39,0.06,-0.005,-0.046,0.892,-1.82,0.49,0.00,0.00,1.82,-0.49,0.00,6.38,-1.73,6.39,-2.11,0.00,0.28,-0.20,-0.44,1100,1100,1100,1100,1033,1500,1508,11807,820
242722,9,-0.10,-0.05,0.06,-0.004,-0.061,0.894,-1.86,0.22,0.00,0.00,1.86,-0.22,0.00,6.53,-0.76,6.62,-0.70,0.00,0.33,0.05,0.09,1100,1100,1100,1100,1033,1500,1508,11795,820
242734,9,-0.19,0.19,-0.07,0.014,-0.064,0.886,-2.02,0.18,0.00,0.00,2.02,-0.18,0.00,7.08,-0.62,7.27,-0.81,0.00,0.40,-0.06,2.09,1100,1100,1100,1100,1034,1500,1508,11791,820
242746,9,-0.13,0.73,-0.13,-0.002,-0.046,0.883,-1.97,0.12,0.00,0.00,1.97,-0.12,0.00,6.90,-0.41,7.03,-1.14,0.00,0.35,-0.34,1.83,1100,1100,1100,1100,1034,1500,1508,11774,820
242759,9,0.02,0.36,-0.21,0.003,-0.057,0.905,-1.90,0.11,0.00,0.00,1.90,-0.11,0.00,6.64,-0.40,6.63,-0.76,0.00,0.28,-0.12,32.73,1100,1100,1100,1100,1034,1500,1508,11766,820
242771,9,-0.16,-0.20,-0.12,0.000,-0.044,0.887,-1.91,0.08,0.00,0.00,1.91,-0.08,0.00,6.67,-0.29,6.83,-0.09,0.00,0.34,0.11,-0.29,1100,1100,1100,1100,1033,1500,1508,11761,820
242783,9,0.12,-0.02,0.20,-0.010,-0.038,0.890,-1.68,-0.11,0.00,0.00,1.68,0.11,0.00,5.87,0.39,5.75,0.41,0.00,0.19,0.05,-5.70,1100,1100,1100,1100,1033,1500,1508,11770,820
242794,9,0.31,0.21,0.77,0.036,-0.080,0.885,-1.78,0.31,0.00,0.00,1.78,-0.31,0.00,6.23,-1.10,5.92,-1.31,0.00,0.20,-0.09,-11.33,1100,1100,1100,1100,1034,1501,1507,11774,820
