time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
129999,9,0.12,0.00,-0.04,0.006,-0.057,0.890,-2.16,0.14,0.00,0.00,2.16,-0.14,0.00,7.55,-0.48,7.43,-0.48,0.00,0.27,-0.02,0.37,1000,1000,1000,1000,1033,1500,1508,10608,768
130011,9,0.09,0.03,-0.02,0.007,-0.056,0.890,-2.15,0.14,-2.16,0.00,-0.01,-0.14,0.00,-0.04,-0.50,-0.13,-0.53,0.00,-0.01,-0.03,0.13,1000,1000,1000,1000,1033,1476,1508,10608,768
130023,9,0.07,-0.02,-0.04,0.006,-0.055,0.892,-2.13,0.15,0.00,0.00,2.13,-0.15,0.00,7.46,-0.51,7.39,-0.49,0.00,0.30,-0.01,0.25,1000,1000,1000,1000,1033,1500,1508,10608,768
130035,9,0.09,0.02,-0.00,0.005,-0.058,0.892,-2.14,0.13,0.00,0.00,2.14,-0.13,0.00,7.47,-0.45,7.38,-0.47,0.00,0.29,-0.03,-0.17,1000,1000,1000,1000,1033,1500,1508,10608,768
130047,9,0.11,0.02,0.00,0.005,-0.057,0.891,-2.14,0.11,0.00,0.00,2.14,-0.11,0.00,7.49,-0.40,7.38,-0.42,0.00,0.29,-0.03,-0.15,1100,1100,1100,1100,1033,1500,1508,10608,906
130059,9,0.08,0.03,-0.03,0.006,-0.056,0.889,-2.13,0.11,0.00,0.00,2.13,-0.11,0.00,7.45,-0.40,7.38,-0.43,0.00,0.30,-0.02,0.29,1100,1100,1100,1100,1033,1500,1508,10608,906
130071,9,0.12,-0.04,-0.04,0.005,-0.057,0.888,-2.13,0.10,0.00,0.00,2.13,-0.10,0.00,7.46,-0.35,7.34,-0.31,0.00,0.28,0.00,0.27,1100,1100,1100,1100,1033,1500,1508,10608,906
130083,9,0.12,-0.02,-0.04,0.005,-0.057,0.889,-2.14,0.09,0.00,0.00,2.14,-0.09,0.00,7.48,-0.33,7.36,-0.31,0.00,0.29,-0.01,0.23,1100,1100,1100,1100,1033,1507,1501,10608,906
130095,9,0.11,-0.05,-0.07,0.005,-0.056,0.889,-2.13,0.09,0.00,0.00,2.13,-0.09,0.00,7.47,-0.32,7.36,-0.27,0.00,0.29,-0.00,0.57,1100,1100,1100,1100,1033,1507,1501,10608,906
130107,9,0.11,-0.02,-0.05,0.006,-0.057,0.888,-2.14,0.08,0.00,0.00,2.14,-0.08,0.00,7.49,-0.28,7.38,-0.25,0.00,0.30,-0.01,0.21,1100,1100,1100,1100,1033,1500,1508,10604,906
130119,9,0.12,-0.01,-0.10,0.005,-0.056,0.890,-2.14,0.07,0.00,0.00,2.14,-0.07,0.00,7.48,-0.24,7.35,-0.23,0.00,0.29,-0.01,0.85,1100,1100,1100,1100,1033,1500,1508,10604,906
130131,9,0.11,0.01,-0.11,0.006,-0.056,0.890,-2.13,0.06,0.00,0.00,2.13,-0.06,0.00,7.46,-0.21,7.35,-0.23,0.00,0.30,-0.01,0.68,1100,1100,1100,1100,1033,1500,1508,10600,906
130144,9,0.08,-0.01,-0.10,0.006,-0.055,0.890,-2.12,0.06,0.00,0.00,2.12,-0.06,0.00,7.42,-0.22,7.34,-0.22,0.00,0.31,-0.01,0.52,1100,1100,1100,1100,1033,1500,1508,10600,1083
130155,9,0.13,-0.06,-0.05,0.005,-0.056,0.889,-2.11,0.08,0.00,0.00,2.11,-0.08,0.00,7.39,-0.29,7.26,-0.23,0.00,0.29,0.01,-0.06,1100,1100,1100,1100,1033,1500,1508,10600,1083
130167,9,0.08,-0.04,0.01,0.005,-0.057,0.890,-2.11,0.08,0.00,0.00,2.11,-0.08,0.00,7.39,-0.27,7.31,-0.23,0.00,0.31,0.00,-0.53,1100,1100,1100,1100,1033,1500,1508,10600,1083
130179,9,0.10,-0.07,-0.00,0.006,-0.056,0.888,-2.12,0.08,0.00,0.00,2.12,-0.08,0.00,7.42,-0.27,7.33,-0.20,0.00,0.29,0.01,-0.04,1100,1100,1100,1100,1033,1500,1508,10600,1083
130191,9,0.12,-0.04,-0.03,0.006,-0.057,0.889,-2.12,0.08,0.00,0.00,2.12,-0.08,0.00,7.43,-0.29,7.31,-0.24,0.00,0.28,-0.01,0.31,1100,1100,1100,1100,1033,1500,1508,10600,1083
130203,9,0.09,0.03,-0.11,0.006,-0.056,0.890,-2.13,0.09,0.00,0.00,2.13,-0.09,0.00,7.46,-0.30,7.36,-0.33,0.00,0.30,-0.03,1.14,1100,1100,1100,1100,1033,1500,1508,10600,1083
130215,9,0.07,0.05,-0.20,0.005,-0.053,0.891,-2.10,0.08,0.00,0.00,2.10,-0.08,0.00,7.35,-0.29,7.28,-0.34,0.00,0.30,-0.03,1.75,1100,1100,1100,1100,1033,1500,1508,10596,1083
130227,9,0.13,0.10,0.09,0.003,-0.060,0.889,-2.12,0.05,0.00,0.00,2.12,-0.05,0.00,7.43,-0.18,7.30,-0.28,0.00,0.29,-0.05,-1.99,1100,1100,1100,1100,1033,1500,1508,10592,1083
