time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,angle_sp_roll,angle_sp_pitch,angle_err_roll,angle_err_pitch,angle_i_roll,angle_i_pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
73098,9,-0.00,-0.09,-0.05,0.031,-0.068,1.004,-0.56,0.10,0.00,0.00,0.56,-0.10,0.00,-0.00,1.97,-0.35,1.97,-0.26,0.00,-0.00,-0.00,0.08,-0.01,0.86,1000,1000,1000,1000,1026,1500,1518,10683,737
73101,9,0.11,-0.04,-0.05,0.031,-0.068,1.004,-0.57,0.10,0.00,0.00,0.57,-0.10,0.00,-0.00,1.98,-0.35,1.87,-0.31,0.00,-0.00,-0.00,0.07,-0.02,0.65,1000,1000,1000,1000,1026,1500,1518,10683,737
73103,9,0.11,0.03,-0.01,0.030,-0.068,1.004,-0.57,0.10,0.00,0.00,0.57,-0.10,0.00,-0.00,1.99,-0.35,1.89,-0.38,0.00,-0.00,-0.00,0.07,-0.03,-0.16,1100,1100,1100,1100,1026,1500,1518,10683,736
73105,9,0.06,-0.01,0.07,0.031,-0.068,1.003,-0.57,0.10,0.00,0.00,0.57,-0.10,0.00,-0.00,2.01,-0.34,1.96,-0.33,0.00,-0.00,-0.00,0.08,-0.02,-1.02,1100,1100,1100,1100,1026,1500,1517,10683,736
