time_ms,flags,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,angle_roll,angle_pitch,rate_sp_roll,rate_sp_pitch,rate_err_roll,rate_err_pitch,rate_i_roll,rate_i_pitch,rate_i_yaw,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_thr,rc_roll,rc_pitch,battery_mv,loop_us
95748,0,-0.33,1.41,0.12,0.053,-0.074,0.984,0.00,0.00,0.00,4.20,0.33,2.79,-0.00,0.03,-0.03,0.52,-1.31,-0.33,1000,1000,1000,1000,1052,1500,1521,11420,768
95760,0,-0.04,-0.50,-0.83,0.081,-0.064,0.978,0.00,0.00,0.00,4.20,0.04,4.70,-0.00,0.04,-0.01,-0.01,2.32,2.06,1000,1000,1000,1000,1052,1500,1521,11420,768
95772,0,-0.12,0.13,0.58,0.064,-0.059,0.999,0.00,0.00,0.00,4.20,0.12,4.07,0.00,0.04,-0.01,0.12,1.49,-1.47,1000,1000,1000,1000,1053,1500,1521,11424,768
95784,0,0.21,1.09,0.48,0.037,-0.070,1.005,0.00,0.00,0.00,4.20,-0.21,3.11,-0.00,0.05,-0.03,-0.26,0.32,-1.23,1000,1000,1000,1000,1029,1500,1521,11420,768
95796,0,0.05,2.30,-0.94,0.041,-0.071,1.010,0.00,0.00,0.00,4.20,-0.05,1.90,-0.00,0.06,-0.02,-0.06,-0.62,2.34,1100,1100,1100,1100,1029,1500,1521,11424,771
95808,0,-0.26,-0.06,-0.04,0.051,-0.070,1.007,0.00,0.00,0.00,4.40,0.26,4.46,-0.00,0.07,0.00,0.38,3.25,0.09,1100,1100,1100,1100,1027,1500,1522,11424,771
95820,0,0.01,1.24,0.94,0.024,-0.074,1.013,0.00,0.00,0.00,4.40,-0.01,3.16,-0.00,0.08,-0.02,-0.00,0.67,-2.38,1100,1100,1100,1100,1027,1500,1522,11420,771
95832,0,0.12,2.12,-0.37,0.032,-0.076,1.016,0.00,0.00,0.00,0.00,-0.12,-2.12,-0.00,0.07,-0.02,-0.18,-2.23,0.90,1100,1100,1100,1100,1028,1501,1520,11416,771
95844,0,-0.08,-0.02,-0.83,0.044,-0.072,1.011,0.00,0.00,0.00,4.20,0.08,4.22,0.00,0.08,0.01,0.02,2.45,2.07,1100,1100,1100,1100,1027,1500,1521,11416,771
95856,0,0.30,0.18,0.81,0.029,-0.069,1.006,0.00,0.00,0.00,4.20,-0.30,4.02,-0.00,0.09,-0.00,-0.50,1.61,-2.03,1100,1100,1100,1100,1027,1500,1521,11416,771
95868,0,-0.30,0.76,0.33,0.032,-0.074,1.008,0.00,0.00,0.00,4.20,0.30,3.44,-0.00,0.10,-0.03,0.54,0.79,-0.85,1100,1100,1100,1100,1027,1500,1521,11420,771
95880,0,-0.35,-0.24,-0.96,0.045,-0.068,1.007,0.00,0.00,0.00,4.20,0.35,4.44,0.00,0.11,-0.01,0.51,2.57,2.39,1100,1100,1100,1100,1027,1500,1521,11416,771
95892,0,0.26,-0.55,-0.10,0.032,-0.067,1.005,0.00,0.00,0.00,4.20,-0.26,4.75,-0.00,0.12,0.01,-0.40,2.70,0.26,1100,1100,1100,1100,1027,1500,1521,11416,771
